date,ukbr,usff,uk/us ex,,date,uspi,ukpi,,date,usgrowth,uk growth
11/16/2016,76.6548,0.41,1.2423,,10/31/2016,1.6,0.9,,9/30/2016,2.9,0.5
11/15/2016,76.122,0.41,1.2384,,,,,,6/30/2016,1.4,0.7
11/14/2016,76.5832,0.41,1.2453,,9/30/2016,1.5,1,,3/31/2016,0.8,0.4
,,,,,8/31/2016,1.1,0.6,,,,
11/11/2016,76.7505,,1.2579,,7/31/2016,0.8,0.6,,12/31/2015,0.9,0.7
11/10/2016,75.9717,0.41,1.2486,,,,,,9/30/2015,2,0.3
11/9/2016,75.2642,0.41,1.2444,,6/30/2016,1,0.5,,6/30/2015,2.6,0.5
11/8/2016,74.5863,0.41,1.2407,,5/31/2016,1,0.3,,3/31/2015,2,0.3
11/7/2016,74.5744,0.41,1.2393,,4/30/2016,1.1,0.3,,,,
,,,,,,,,,12/31/2014,2.3,0.8
11/4/2016,75.1133,0.41,1.2545,,3/31/2016,0.9,0.5,,9/30/2014,5,0.8
11/3/2016,74.6415,0.41,1.2455,,2/29/2016,1,0.3,,6/30/2014,4,0.9
11/2/2016,73.7138,0.41,1.2315,,1/31/2016,1.4,0.3,,3/31/2014,-1.2,0.8
11/1/2016,73.4529,0.41,1.222,,,,,,,,
10/31/2016,73.7497,0.31,1.2214,,12/31/2015,0.7,0.2,,12/31/2013,4,0.5
,,,,,11/30/2015,0.5,0.1,,9/30/2013,3.1,0.8
10/28/2016,73.5086,0.41,1.2145,,10/31/2015,0.2,-0.1,,6/30/2013,0.8,0.5
10/27/2016,73.7397,0.41,1.2179,,,,,,3/31/2013,2.8,0.6
10/26/2016,74.0059,0.41,1.2239,,9/30/2015,0,-0.1,,,,
10/25/2016,73.5901,0.41,1.2133,,8/31/2015,0.2,0,,12/31/2012,0.1,-0.2
10/24/2016,73.9281,0.41,1.2205,,7/31/2015,0.2,0.1,,9/30/2012,0.5,1.1
,,,,,,,,,6/30/2012,1.9,-0.1
10/21/2016,73.9261,0.41,1.2195,,6/30/2015,0.1,0,,3/31/2012,2.7,0.4
10/20/2016,73.9503,0.41,1.2244,,5/31/2015,0,0.1,,,,
10/19/2016,73.9934,0.41,1.2288,,4/30/2015,-0.2,-0.1,,12/31/2011,4.6,0.2
10/18/2016,74.1414,0.41,1.2302,,,,,,9/30/2011,0.8,0.4
10/17/2016,73.2334,0.41,1.2155,,3/31/2015,-0.1,0,,6/30/2011,2.9,0.1
,,,,,2/28/2015,0,0,,3/31/2011,-1.5,0.6
10/13/2016,73.3075,0.41,1.2195,,1/31/2015,-0.1,0.3,,,,
10/12/2016,73.3075,0.41,1.2193,,,,,,12/31/2010,2.5,0.1
10/11/2016,73.383,0.41,1.2183,,12/31/2014,0.8,0.5,,9/30/2010,2.7,0.6
10/10/2016,73.7921,0.41,1.2227,,11/30/2014,1.3,1,,6/30/2010,3.9,1
,,,1.2377,,10/31/2014,1.7,1.3,,3/31/2010,1.7,0.5
10/7/2016,74.2185,0.4,,,,,,,,,
