Date,ukpi,usgdp,ukgdp,uki,mideff,Lastuspi,exusuk,Midtwd
9/30/2016,0.7,2.9,0.5,0.21,0.4,1.5,,90.0988
6/30/2016,0.4,1.4,0.7,0.46,0.38,1,1.3125,89.5114
3/31/2016,0.3,0.8,0.4,0.46,0.36,0.9,1.4347,91.3889
12/31/2015,0.1,0.9,0.7,0.46,0.24,0.7,1.431,93.9241
9/30/2015,0,2,0.3,0.45,0.14,0,1.5173,91.521
6/30/2015,0,2.6,0.5,0.46,0.13,0.1,1.5492,89.607
3/31/2015,0.1,2,0.3,0.46,0.11,-0.1,1.5333,91.6675
12/31/2014,0.9,2.3,0.8,0.43,0.12,0.8,1.5143,84.1344
9/30/2014,1.5,5,0.8,0.43,0.09,1.7,1.583,79.5888
6/30/2014,1.7,4,0.9,0.43,0.1,2.1,1.6685,76.4479
3/31/2014,1.7,-1.2,0.8,0.42,0.08,1.5,1.6833,76.5927
12/31/2013,2.1,4,0.5,0.42,0.09,1.5,1.6551,76.1827
9/30/2013,2.7,3.1,0.8,0.43,0.08,1.2,1.6194,76.009
6/28/2013,2.7,0.8,0.5,0.43,0.09,1.8,1.5523,76.2444
3/29/2013,2.8,2.8,0.6,0.44,0.14,1.5,1.5367,76.3131
12/31/2012,2.7,0.1,-0.2,0.43,0.16,1.7,1.5506,73.2222
9/28/2012,2.4,0.5,1.1,0.43,0.14,2,1.6064,72.6826
6/29/2012,2.8,1.9,-0.1,0.49,0.16,1.7,1.5814,75.1201
3/30/2012,3.5,2.7,0.4,0.49,0.13,2.7,1.5827,73.0254
12/30/2011,4.6,4.6,0.2,0.52,0.07,3,1.5717,73.2907
9/30/2011,4.7,0.8,0.4,0.55,0.08,3.9,1.572,71.2014
6/30/2011,4.4,2.9,0.1,0.53,0.09,3.6,1.6095,69.5337
3/31/2011,4.1,-1.5,0.6,0.52,0.14,2.7,1.631,70.7869
12/31/2010,3.4,2.5,0.1,0.52,0.18,1.5,1.6022,73.8001
9/30/2010,3.1,2.7,0.6,0.5,0.19,1.1,1.5808,74.9957
6/30/2010,3.5,3.9,1,0.49,0.18,1.1,1.5519,79.076
3/31/2010,3.3,1.7,0.5,0.47,0.16,2.3,1.4923,75.2275
12/31/2009,2.1,3.9,0.4,0.45,0.12,2.7,1.5611,73.3033
9/30/2009,1.5,1.3,0.1,0.43,0.15,-1.3,1.6346,74.081
6/30/2009,2.1,-0.5,-0.2,0.4,0.21,-1.4,1.6411,77.164
3/31/2009,3,-5.4,-1.6,0.52,0.18,-0.4,1.55,84.0116
12/31/2008,3.9,-8.2,-2.3,1.65,0.16,0.1,1.4351,80.8798
9/30/2008,4.8,-1.9,-1.7,4.89,1.81,4.9,1.5681,75.5847
6/30/2008,3.4,2,-0.7,5.03,2,5,1.8909,71.3728
3/31/2008,2.4,-2.7,0.1,5.31,2.61,4,1.971,70.3418
12/31/2007,2.1,1.4,0.8,5.6,4.24,4.1,1.9788,73.7946
9/28/2007,1.8,2.7,0.8,5.82,4.94,2.8,2.0437,75.9773
6/29/2007,2.6,3.1,0.7,5.61,5.25,2.7,2.0216,79.0632
3/30/2007,2.9,0.2,1,5.3,5.26,2.8,1.9863,81.3142
12/29/2006,2.7,3.2,0.4,5.08,5.24,2.5,1.955,80.9856
9/29/2006,2.4,0.4,0.1,4.79,5.25,2.1,1.9173,81.7363
6/30/2006,2.3,1.2,0.2,4.57,4.99,4.3,1.8741,81.6574
3/31/2006,1.9,4.9,0.3,4.54,4.59,3.4,1.8267,85.1676
12/30/2005,2.1,2.3,1.4,4.64,4.16,3.4,1.7536,85.8179
9/30/2005,2.4,3.4,1.1,4.55,3.62,4.7,1.7486,83.8662
6/30/2005,2,2.1,1.1,4.79,3.04,2.5,1.7838,85.0323
3/31/2005,1.7,4.3,0.6,4.82,2.63,3.1,1.8566,81.003
12/31/2004,1.4,3.5,0.6,4.75,2.16,3.3,1.8904,80.2398
9/30/2004,1.3,3.7,0.2,4.73,1.61,2.5,1.8657,86.3239
6/30/2004,1.4,3,0.5,4.35,1.03,3.3,1.8193,87.7056
3/31/2004,1.3,2.3,0.6,3.94,1,1.7,1.8057,86.6059
12/31/2003,1.3,4.8,0.8,3.81,0.98,1.9,1.8396,86.3602
9/30/2003,1.4,6.9,1,3.52,1.01,2.3,1.7068,92.4312
6/30/2003,1.3,3.8,0.9,3.66,1.22,2.1,1.6105,91.2151
3/31/2003,1.5,2.1,0.8,3.92,1.25,3,1.6191,97.1717
12/31/2002,1.5,0.3,0.9,4.4,1.24,2.4,1.6026,101.6508
9/30/2002,1,2,0.8,3.89,1.75,1.5,1.5716,103.621
6/28/2002,0.9,2.2,0.7,3.49,1.75,1.1,1.5499,104.52
3/29/2002,1.5,3.7,0.4,4.02,1.73,1.5,1.4621,111.1662
12/31/2001,1,1.1,0.4,4.59,1.82,1.6,1.426,109.7125
9/28/2001,1.5,-1.3,0.7,4.85,3.07,2.6,1.4423,106.9148
6/29/2001,1.5,2.1,0.7,4.78,3.97,3.2,1.4386,109.748
3/30/2001,0.9,-1.1,1.3,5.4,5.31,2.9,1.4211,107.509
12/29/2000,1,2.3,0.2,5.74,6.4,3.4,1.4582,104.8294
9/29/2000,0.8,0.5,0.3,6.13,6.52,3.5,1.4464,104.2676
6/30/2000,0.6,7.8,0.7,5.86,6.53,3.7,1.4767,100.0421
3/31/2000,0.8,1.2,1,5.78,5.85,3.8,1.5335,98.8282
12/31/1999,1.1,7.1,1.4,4.78,5.3,2.7,1.6068,96.3719
9/30/1999,1.2,5.1,1.8,4.93,5.22,2.6,1.6303,95.9664
6/30/1999,1.4,3.3,0.1,4.9,4.76,2,1.6019,99.067
3/31/1999,1.6,3.2,0.7,5.58,4.81,1.7,1.6064,98.0405
12/31/1998,1.4,6.7,1,6.37,4.68,1.6,1.6329,95.4093
9/30/1998,1.4,5.3,0.7,7.28,5.51,1.5,1.6754,98.6347
6/30/1998,1.8,3.9,0.6,7.14,5.56,1.7,1.6534,100.4721
3/31/1998,1.6,4,0.6,7.4,5.49,1.4,1.6536,97.9324
12/31/1997,1.8,3.1,1.3,7.14,5.5,1.7,1.6459,97.2629
9/30/1997,1.9,5.2,0.6,6.98,5.54,2.2,1.6605,95.0566
6/30/1997,1.6,6.2,1.2,6.22,5.56,2.3,1.6247,92.4723
3/31/1997,1.9,3.1,1,5.97,5.39,2.8,1.6355,93.4943
